Activated DC,Migratory DC
FSCN1 ,GAL3ST 
BIRC3 ,NUDT17 
LAMP3 ,ITGB8 
CCL19 ,ADCY6 
LAD1 ,ENO2 
MARCKS ,IL15RA 
TNFAIP2 ,SOCS2 
CCR7 ,IL15 
CCL22 ,STAP2 
MARCKSL1 ,PHF24 
EBI3 ,ANKRD33B 
TNFRSF11B ,INSM1 
NUB1 ,ANXA3 
INSM1 ,ARHGAP28 
RAB9A ,RNF115 
LY75 ,ADORA2A 
SIAH2 ,EXTL1 
POGLUT1 ,SPSB 
KDM2B ,SLC22A23 
MGLL ,RABGAP1 
TXN ,GYG1 
MLLT6 ,DAP 
KIF2A ,OGFR 
GRSF1 ,GYG2 
FAM49A ,CCSER2 
PLEKHG1 ,TMEM123 
SOCS2 ,NET1 
RFTN1 ,GPR52 
AC009812.4 ,SLCO5A1 
BMP2K ,FAH 
NAV1 ,CLU 
IL7R ,PCGF5 
ID2 ,SAMSN1 
CCL17 ,CDKN2B 
PPP1R9B ,BMP2K 
NRP2 ,ZC2HC1A 
TUBB6 ,SERINC5 
ARNTL2 ,HIVEP1 
UVRAG ,CNR1 
TXNDC11 ,CNR2 
MREG ,
BTG1 ,
NDE1 ,
SPG11 ,
IL32 ,
ERICH1 ,
TBC1D4 ,
NFKB1 ,
GCSAM ,
BZW1 ,