LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3,BMYO1,BMYO2,FB1,FB2,FB3,FB4,PV1,PV2,PV3,PV4,PV5,VEV,VEC,VEA,VEAT,LE1,LE2,CD4_naive,CD4_Th,CD8_Tem,CD8_Trm,CD8_Tc1,NKT,NK,ILC,B_naive,B_mem_switched,B_mem_unswitched,Plasma_cell,Macro,Macro-lipo,DC
PGBD5,FGFBP1,GIPC1,MYEOV,MND1,SH3BP4,ESR1,AC008115.3,IRX1,MYLK,SPON2,AP5B1,FLNC,DNER,DENND5A,CHSY1,ADIRF,CCDC102B,ITGA7,LPCAT4,PIK3R3,DKK2,RASIP1,TGFB2,EFEMP1,FYN,PIK3IP1,CEMIP2,TSEN54,CDC42SE2,SORL1,NCBP3,GALC,CD37,GRAMD1C,ZC3H8,FAM30A,LILRB2,OTOA,GCLC
FAH,IFFO2,SLC20A2,RPL34,NDC80,DUSP10,AC093001.1,NUCB2,DFFA,PFKFB2,NEGR1,OAF,NBL1,ABI3BP,CDC37L1,HIPK2,SORT1,ABCC9,ANO3,NOS3,TMEM44-AS1,RPGR,LXN,IRF8,PLSCR4,METTL4,LAX1,ITGA4,BRD9,SEMA4D,TBC1D10C,BIN2,LTB,SLC37A1,CLECL1,HLA-DMB,MT1H,LAIR1,CYB561A3,TSPAN33
KIT,MAP7D1,MRPS24,ROCR,ANLN,ACADSB,DUSP10,PRR13,TUBB2B,MIA,GLT8D2,PDPN,DCLK1,FAM153CP,AHR,ZNF331,NR2F2-AS1,PARM1,NOTCH3,SLC9B2,PCDH17,CCDC85A,NR5A2,CCDC141,SLC16A11,AC133644.2,LTB,DCP1B,CAMK4,C21orf91,IL2RB,LYST,CRADD,SHISA8,NCF4,TNFRSF18,LINC02362,LILRB1,STON1-GTF2A1L,APOBEC3A
NCCRP1,CBX6,RPL18,DNAJA4,ARHGAP11A,DHCR24,PCCA-DT,GLUL,TMEM237,TNS4,F2R,ZDBF2,RARRES2,TLNRD1,PRKG1,GYG1,ISYNA1,CH25H,STEAP4,STARD4,HECW2,SOX17,ZNF71,DTX1,SMYD2,ANKRD12,PBXIP1,CD28,PGK1,ATG16L1,GZMM,GNG2,FES,PRDM2,IGHG4,POU2AF1,FCRL2,LILRB4,TMEM138,IL4I1
TTLL4,SERTAD2,COX4I1,GOLGA8A,RAD51AP1,IBTK,DCDC2,PLAT,USP31,ALDH7A1,SFRP2,HMGA2,BDKRB1,S1PR2,MECP2,RNF152,SORBS2,SDC2,ADCY6,HLA-E,SOCS3,RAMP2,PIR,DHODH,TRDC,AC092338.3,TSC22D3,PASK,PDCD1,OXNAD1,NLRC3,GZMB,FURIN,TNFRSF13B,LINC01215,LPCAT1,SEC11C,HCK,CAPG,PIKFYVE
VNN1,NKX3-1,MAP3K13,RPL12,MAD2L1,TSPAN1,SLC2A10,MUCL1,GCLM,S100B,CFD,AC092279.1,OLFML3,NOTCH2,RNF152,ELL2,COX4I2,SCN4B,CYGB,ENG,RUNDC3B,PIK3R3,IL3RA,RAB32,RAB11A,CD6,SNX20,PRF1,PRKCQ,LAX1,CLIC3,GZMK,ITM2C,INPP5A,HSH2D,BTLA,SPAG4,MMP9,AC093583.1,LY86
SGPP2,ZNF385C,RPS14,STAC2,PIF1,CLIC6,GSTM3,HOXB2,MRPS17,ARHGEF5,C7,RAMP1,TAPBPL,CDH11,HSPA12A,ZNRD1,HOXB-AS1,MRGPRF,SPECC1,C2CD2,CCDC85A,CYYR1,CDC37,NXN,F8,PRKCQ-AS1,PRKCQ,CD84,PSTPIP1,TMEM71,HSH2D,CHST12,TCTN3,CYBB,POU2F2,IZUMO4,BLNK,OSM,PLA2G7,HLA-DQB2
KLK10,DAPP1,RPL36A,ZFAND2A,NUSAP1,LMO7,PLEKHF2,C12orf49,FGFR2,EGR2,ADH1B,FST,FN1,TNNT3,SATB2,ZFHX3,DMPK,SNTA1,KLHL23,CCDC69,LIFR,TM6SF1,ARRB1,NPEPPS,EXOC3L1,MDM4,BICDL1,SLAMF6,SH2D2A,SH2D1A,HCST,KLRG1,GDE1,BACH2,FCRL3,AC008105.3,SLC17A9,CRLF2,ADAMDEC1,PLEKHM3
RASGEF1A,NDRG2,RPL18A,UBC,KIF23,C19orf33,FAAH,SLC4A7,GPT2,STK17A,LOXL1,TMEFF1,BNC2,UGDH,STARD13,ATP1B3,MAPRE2,LMOD1,SLC38A11,UPP1,CASKIN2,MAST4,CMTM8,PSEN2,RAMP2,N4BP2,RCAN3,RNF166,AC022706.1,TSPYL2,ZBP1,AC004974.1,STAM,RNASE6,TBXAS1,PIKFYVE,ATF5,CSF2RA,AC114296.1,SERPINB9
PTGES2,PRPSAP1,RPS9,SOX9-AS1,PRC1,PLCD3,SREBF1,ACADSB,PFKFB2,SLC2A12,LSP1,MEG8,C3,FAS,PCED1A,BCAS2,CDH6,C20orf27,HEXIM1,MAP3K11,KBTBD2,RHOB,UBE2J1,BAALC,HYAL2,CCNH,GCSAM,CD5,SAMD3,AC087239.1,GTF3C1,ITGAE,LINC02384,CD79B,RCN2,DUSP22,CEP128,GK,FKBP15,DNASE1L3
IL34,ALDH1A3,RPS23,HSPA4L,CDCA2,GALNT7,MSMO1,UGDH,BLCAP,NEXN,KIAA0408,LSS,COL8A1,HSD17B7,CHSY1,GLIS2,CCDC3,TPPP3,SELENBP1,TNFRSF14,LPAR6,SYNJ2,MLEC,BICD1,TRMT9B,RORA,CASP8,RAB27A,GPR155,CNOT6L,DENND1C,AP005482.1,RGS9,HSH2D,AP001059.3,NRROS,HIST1H4H,MPP1,MEIKIN,SYNGR2
CYB5R2,ANKRD36C,RPL26,HIST1H2BF,AC091057.6,SIGLEC15,KIAA1324,CYP4X1,SLC1A5,TMEM178A,DPT,LOXL2,CPQ,RAN,GNAI1,CCK,CABP1,AOC3,BRD2,RALGAPA2,BST2,PALMD,BCL6B,NFATC1,PRKAR1B,STT3B,ELOVL6,LYAR,SASH3,STK17A,CCL5,YPEL1,TMEM184C,MARCH1,ACP5,TCEA1,AL096865.1,LST1,NCF2,CD83
TRIM2,SCGB2A1,RPL11,ATP5MC2,TACC3,STN1,MYBPC1,TFPI2,UCHL1,LGALS7B,OSR1,SLC38A6,ABI3BP,LTBP4,DLX5,HES4,NDUFA4L2,VGLL3,GPRIN3,SPAG9,AQP7,JAG2,GALNT18,PRKCZ,NTS,SEMA4D,ODF2L,ITGAL,AC133644.2,AC246785.3,SELPLG,PTGDR,CCR6,BTK,NIN,AC073111.4,HIST1H2BJ,BCAT1,GRN,CD74
CLDN8,BBOX1,ACTR3B,HSP90AB1,POC1A,RNF141,SRF,PPDPF,LINC00662,MGME1,CERCAM,HAND2-AS1,PKIA,LARP6,CNBP,ADCY9,SERPINI1,TMEM119,INAFM1,VWF,GPR146,PPM1D,ST6GALNAC3,EXOC6,KANK3,EVL,PBX4,CDC42SE2,ITGAL,SMCHD1,DIP2A,AC017104.1,PHF6,DMXL1,AC073111.4,HVCN1,JMY,EREG,HMG20B,HLA-DQB1
AQP5,PI3,RPL37A,AC012368.1,KIF14,SMIM14,LRRC26,BCAS4,AC253572.2,LCA5,FOXP2,CCBE1,SPOCK1,RELT,FAM110B,NGF,HSDL2,SUSD2,CCDC102B,ACKR3,TNFSF9,MCTP1,SOX18,FAM171A1,MEGF6,STK4,GPR171,HERPUD2,RAB27A,PARP8,LMNB1,PRF1,GPSM3,HVCN1,TMED8,IRF5,SERP1,IL1R2,IFI30,AC004847.1
SBSN,TSLP,RPL14,BBOX1,RACGAP1,TSPAN15,SREBF2-AS1,IL17RB,SRM,RNF43,ABCA8,ADGRD1,ADAMTSL4,ECM1,PDGFA,ST3GAL3,ARHGEF25,SEMA4C,AL391121.1,FAM160A2,SSH1,ARID5A,LNX1,MYCN,ECSCR,IQGAP2,LEPROTL1,AP002387.2,CD27,TRGC2,SH2D2A,SLA2,LPXN,AC024560.5,IZUMO4,VPREB3,RABAC1,SLC7A7,AQP9,LOR
STEAP3,CTSV,RPL32,HSPH1,ZWINT,DNALI1,PTHLH,DIRAS3,ACTN4,SERPINB5,LRRN4CL,CLSTN3,IFI27L2,SLC35F2,DEGS1,SNHG15,CACNA1H,CCL26,TNS2,DOC2B,CACHD1,STK38L,PLXNA2,GOPC,TSPAN18,TACC3,IL7R,AC093010.2,LYAR,LINC01089,TRGV9,GRK2,SPINK2,SIPA1L1,TMC8,NCF4,HIST1H2BC,IL2RA,AL596330.1,HSD11B1-AS1
PYGB,ZFAND6,RPL3,KIT,KIF18A,JPT2,SERHL2,H2AFJ,THUMPD2,ISM1,GSN,KDM7A,ARL6IP5,HELLPAR,SPRY2,AC140912.1,AC091182.1,PHYHIP,DAAM2,COL15A1,SOX7,PLCB4,TUBA1B,NTAN1,SNCG,NCMAP,ZNF831,MRPL1,CD3D,XCL2,LINC00299,S1PR5,ATP8B4,NFKBID,ZBTB32,NIN,ANKRD28,CXCL5,NPL,IL2RA
WFDC2,IL34,SAR1B,WNK2,PARPBP,TLCD5,WNT4,SERPINA3,FEZ1,IRX2,ZFHX4,GSTO1,SCG5,PRDX6,IPO5,DISP1,ROCK1,TLE2,GUCY1B1,ECE1,LUZP1,SULF1,HOXB6,NFAT5,PLIN5,BRD1,PDE3B,METRNL,CD226,ZC3H12D,FAM53B,AOAH,ITGB7,POU2F2,SLC37A1,NDUFAF8,TGFBR3L,CTSB,ZMIZ1-AS1,RASSF4
PRELID1,DENND2C,RPS8,SNHG29,NCAPH,FHDC1,CITED1,HAMP,PLXNB1,ANO1,LUM,COPS8,P3H3,WNT9A,B4GALT3,RAB21,AL450384.2,SMARCD3,MYO1B,KCNN2,CYTL1,LPCAT2,ANGPTL2,NFIA-AS2,ADAMTS6,BMI1,JAML,SARAF,PPP2R5C,LAG3,EPG5,TKTL1,LINC00996,FGD2,AP1S3,AL133259.1,USP48,AMPD3,HK3,C19orf38
CEACAM1,CLINT1,CCL28,PIGR,CDT1,ANKRD30B,GATA3-AS1,BORCS5,DRAP1,CMYA5,COL5A2,ZNF254,SERPING1,ENC1,DDX21,ARTN,AKAP1,TTLL7,H19,CDC37,TIFA,PIK3C2B,TAOK2,SLC41A1,PGM5,JOSD1,MTFP1,FYN,LAT,EPG5,SLA2,GLCCI1,NFKBID,TLR6,ISCU,TMC6,PIM2,ATP8B4,LILRB4,SLC6A12
MEAK7,WFDC2,RPL35,RPS18,CENPK,VSIG2,COX6C,YIPF1,KLHL42,GAN,HMCN1,PLA2G4A,DOK5,FGF2,COPS2,WBP11,FAM122A,AC009951.6,S1PR3,AGAP3,GASAL1,PNP,SH3TC1,ZNF704,LRMDA,PIK3R1,BMI1,LINC00861,TBX21,TRG-AS1,GRK2,CARD11,AC144521.1,ORAI2,CD37,AIM2,CLECL1,CD86,GSDME,CMTM6
GABRP,MAP3K8,RPL34,BAG3,ASF1B,DLG5,GREB1,MYBPC1,ZNF219,KRT5,MIR503HG,RABGEF1,FUCA2,SLC29A1,CDC42EP2,BANP,MICAL1,MRVI1,ZNF574,SERPINE1,ADRB2,RASGRF2,OSGIN1,PIEZO2,ZNF467,HNRNPLL,LINC-PINT,RASAL3,LEPROTL1,ZC3HAV1,AKNA,ADGRE5,AC124248.2,SP140L,PRDM4,IL21R,ABHD5,IDO1,OSCAR,CIITA
MELTF,ADAM9,SDC1,FKBP4,SGO2,ARPP19,CRACR2B,XBP1,DSG3,MIR205HG,MXRA8,PENK,C1R,LTBP2,TBC1D23,AL392172.1,HRH2,LMCD1,MEF2C,ADAMTS9,ZNF608,FAM135A,MAPK12,SMAGP,STXBP6,HERPUD2,ZBTB25,CD8B,LAG3,BRD9,SLAMF6,ITGAM,PIK3CD,IZUMO4,INPP5A,P2RX5,HIST1H1C,NLRP3,SLAMF7,SLC5A3
EFNA5,PIM1,RPS3A,CLDN8,ORC6,NDUFV2,IRX3,MAPT,ITGB1,FAM189A2,PDGFRL,EVA1A,WDPCP,RPL22L1,PRMT1,CCDC151,CRIP1,CSGALNACT1,RGS16,SQSTM1,GATA2,RALB,CDH13,IQCK,MSMP,BTG1,ATM,GPR18,CD3E,LINC01138,CST7,APOBEC3G,FNBP1,IGHD,TMEM156,SLC37A1,TMEM107,SLC43A2,LINC00520,ACOT9
MT-ND6,MRPS24,DNTTIP1,FAM3B,PCLAF,BAG1,SLC9A3R1,FDFT1,KLHL13,FAM83B,FAP,IL15RA,EFEMP2,SFRP4,RNF5,BTBD9,PDE5A,BATF3,ING1,RAPGEF4,LINC00884,EGFL8,ARPC1B,SEPHS1,TRIOBP,SNHG6,BCL11B,LIMD2,PARP8,BCL11B,ITGAM,HSH2D,AC245014.3,USP8,ORAI2,HAGHL,HIST1H2BG,LYZ,C1QA,ASMTL
NPAS2,ABI1,NSFL1C,RPL36,SMC4,GTF3C6,CCDC57,RAB43,PKD1,MBNL2,MMP23B,LINC01060,DYNC1I1,RIOK1,PSMD8,LINC00205,ARPC1A,TRAF3IP2-AS1,HNRNPU,TBC1D2,CD36,NOS3,KIFC3,BMP2K,BTBD3,SNHG12,STAT4,SEMA4D,C16orf54,EML4,AC007278.1,DPP8,AC020916.1,RCSD1,STAG3,ACP5,FKBP11,NEU4,SDS,HPD
MALL,KLK10,TTYH1,TCN1,CKAP2,NTN4,GPR160,COX6C,PGM1,NRG2,OLFML2A,MMP14,SCARA3,PGM3,ADAMTS12,LINC01436,DSTN,CDH16,MAFA,ST3GAL6,PALMD,CCL8,HLA-A,KLF6,STON2,BATF,TNFRSF18,DGKA,EMB,AL499604.1,LYAR,TRGC1,TIAM1,FCGR2B,PHF6,ESR2,LINC00528,PLXNC1,LGALS3,RHOF
MUC20,TIAM1,DSC2,ITPR2,PLK4,ATP6V1G1,FOXA1,DNALI1,FAM126A,NAP1L2,LAMB1,ADAMTS12,LGALS3BP,PTGES,AGTR1,FOXK2,KANK2,ANKRD33B,WDFY2,CNKSR3,AC083862.3,CD55,ATP11A,SMC4,NT5E,AKNA,AP002387.2,TRGC2,TRAV8-2,ITK,SASH3,CCSER2,CTSW,HSPBAP1,SESN3,SHISAL2A,ERLEC1,TTYH2,SLC39A11,EDEM1
ALDH1A3,GLUD1,PFDN4,FABP7,FAM83D,SMIM29,CALML3,ERG28,SFN,LAMA3,SRPX,KAZN,KIF21A,FMNL2,LPL,C4orf33,ADAMTS10,DACT1,PTH1R,JAG1,CD34,DOCK9,GSDMD,LATS2,BCL7C,BCL11B,PIM2,CD6,IL18RAP,TXK,MRPL10,LMNB1,RUNX2,MGAT5,NRROS,PARP14,MGAT2,TNIP3,ABHD12,NABP1
TSPO,ATP1B1,TGFA,SFRP1,PTTG1,MYO6,SNIP1,MCCC2,MAPKBP1,BEX2,HAND2,AGPAT4,C12orf75,TMEM38B,ACO1,DACT3,PPP1R1A,TAGLN,APBB2,TSHZ1,ACACB,SLC9A3R2,DOCK9,KLHL4,SHC1,DOCK10,AC007448.4,KLRK1,GCHFR,AL157394.3,LINC00861,TIGIT,LTA,ANKRD44,PPFIBP2,IGFLR1,KLHL6,GPR137B,AC244090.1,AIF1
CARHSP1,HMGA1,DUSP14,SCGB2A1,SPAG5,ZNF292,ELOVL5,TRAFD1,SH3RF2,NSG1,SLIT2,AHI1,MIR100HG,LRRC59,TASOR2,HSPB7,KIAA0040,UBR1,LINC00205,KITLG,TRIM25,FAM90A1,RAB12,RAI14,RELN,RNF19A,OXNAD1,MAP4K1,DENND1C,AL022067.1,PLCB2,AGTPBP1,ALDOC,SNX2,BTK,PARP9,TXNDC15,ATP2B1-AS1,TLR8,CXCL16
CAPN1,SLC20A2,RPL35A,AC108134.2,DIAPH3,TUBB3,RAB17,SEMA4B,AC239799.2,TES,ADAM33,CENPW,CCDC71L,PID1,ARHGAP17,PSMD12,THRA,TMEM176A,ATP1B2,CPXM2,TPO,ITPRID2,TMCC2,AL121839.2,WFS1,ITPRIPL1,RUNX2,MATK,C9orf78,OASL,AC243829.1,IL12RB1,HOXA6,SCIMP,NFKBID,HLA-DQB1,CD79A,ZFYVE16,AC068193.1,KCNE5
TNFRSF11B,LOX,PRR4,ARHGEF38-IT1,BRCA1,GTPBP10,MAGI3,AZGP1,KRT17,AOPEP,FAM184A,PDGFRA,DPT,GSTO1,TBC1D1,NAP1L5,HCFC1R1,CD4,PGM5-AS1,KLF7,GJA1,PTPRM,SEMA6B,SH3BGRL2,LINC01116,CD247,LINC00623,TUBA4A,ZBTB25,XCL1,TRGC1,SASH3,LRRN3,FCHO1,HLA-DMB,GRK3,SYNGR3,PIK3AP1,SLC31A1,RGS18
HEBP2,SESTD1,RPS7,RPL39,KNSTRN,CSF3R,COPS9,RABEP1,RPS6KA1,ETF1,ALDH1A1,DPY19L3,AHNAK2,RDH10,KLHL26,ADCY3,MID1IP1,PPP1R14A,SEPTIN7,ARPC1B,AC008875.3,ASRGL1,ANGPT2,LINC00636,ITGA9,AC093010.2,CD2,KLRC4,GZMM,AC004687.1,CHST12,AC108066.2,GRAMD1B,PARP14,RUBCN,FCMR,ST6GALNAC4,GRAMD1A,NCF1,IL1R2
QDPR,MAP3K13,SERPINB7,TM7SF2,KIF20B,SYTL2,ACADSB,PHGR1,NETO2,MINDY2,CD302,MEG3,AEBP1,SPOCK1,SLC25A5,WDR45B,CABIN1,HSPB2,RDH5,FOXF1,TNFRSF10D,KCNN3,CLDN23,HHEX,SELENON,PBX4,FYB1,PTPN7,ATP8A1,PRKCQ-AS1,SLA,IKZF2,AC013264.1,LY86,HAGHL,MIR155HG,OTUD1,ABHD12,AC005280.2,C12orf45
GJB3,IGF2BP2,RPL5,HSP90AA1,MXD3,PLGRKT,EGOT,DPCD,PILRB,RIPK4,PCOLCE,DUXAP8,KAZALD1,ADH1B,PDE3A,RASSF1,SMARCD3,SOCS1,LINC02076,GIT1,TLR4,XAF1,MGST2,STMN1,PARD6G,LINC-PINT,RNF157,LRMP,SARAF,SAMD3,TBX21,SUPV3L1,TBC1D31,GPR18,JADE2,AC024560.5,ZBP1,PDE4DIP,MRPL44,HLA-DRA
PI3,DSC3,MYO5B,NTHL1,PSRC1,TFAP2A,MEGF9,CHMP2A,PHGDH,ARHGAP19,HYMAI,RBMS1,LTBP3,DRAM1,PLPPR4,EIF1B,NBEAL1,NR2F2,AP001033.3,PRSS23,KIAA1211L,AL109741.1,GSR,FLRT2,THEM6,LMNB1,MPZL3,GALNT11,TRAC,AC093010.2,PAXX,METRNL,AC253572.2,LINC00426,IRF5,HSH2D,STAP1,CCR7,LINC02732,BX255923.2
ATP6V1B2,GIPC1,GPAT3,RPL37,TK1,ZNRF2,TTC39A,PI15,UBASH3B,SRSF8,PRTFDC1,CD276,AGXT,CNBP,FGD4,EPOR,NOL3,IKZF4,COL5A3,MIER2,PPM1D,MRPL33,PDGFB,STOX2,CAVIN2,DGKA,SESN1,LAX1,SLF1,PPP2R5C,GK5,TOX,MIR155HG,RUBCN,GRK3,CXorf21,DUSP5,IL1A,CD300C,GPR137B
CALML5,STX12,CD47,SLC12A2,LMNB1,HSDL1,PDZK1,CETN2,URB1,KIF5B,TNXB,PLEKHM2,STEAP1,LYRM4,COL27A1,CASP9,NTRK2,DEPP1,TRPC6,EHD4,NOTCH4,TIFA,ECE1,LINC01985,AGFG2,ATG2A,ANKRD12,PCED1B-AS1,LINC00623,GNG2,AC243829.4,LINC01146,TRGC1,TSPAN33,ANKRD44,PRDM2,IFNLR1,FMN1,LGALS2,FSCN1
C9orf16,TMEM41A,HMGA1,HIST1H3D,SPDL1,HIGD1A,AGR2,HSDL1,NTF3,KRT14,BICC1,MAP4K5,CCDC80,PNPLA8,GJA4,ZHX2,AC104083.1,HSPB7,POU3F1,EPB41L4A,RALGDS,ABLIM3,DYSF,SNTG2,S100A10,BICDL1,GPSM3,WIPF1,MAP4K1,SPN,BTN3A2,RIN3,DNAJC1,TMC8,RBM26,CD180,CRELD2,MYO1G,TMEM251,CCR7
BBOX1,DSG2,MTM1,RHOV,CLSPN,SERPINA3,SORD,FASN,XPR1,CXCL14,NOVA1,DNAJC25,PRELP,GART,EIF4A1,LINC00702,MRVI1,SLC1A2,PLEKHG6,HIPK3,AC073352.2,TEK,TSHZ1,SIRPA,KCTD17,ICOS,SMCHD1,ARAP2,DOCK10,PTPN22,FGD3,SORL1,CDC42SE1,COL9A3,ICAM3,DUSP2,MANEA,IL4I1,CALM3,CERS6
MESP1,PLEC,RPS4X,FBXW7,FANCI,CTXN1,ANKRD30B,HMGN1,RAD18,TENM2,ZBTB20,NFATC4,CCN5,RAB7A,THAP3,MFHAS1,SLC2A4,PPP1R12A,DCBLD1,ABI3,DLL4,EFNB2,EID3,GLIS3,HRCT1,AC136475.3,IKZF1,SMCHD1,CD7,AC245297.3,MPHOSPH9,PIK3CD,KMT5C,HLA-DMB,CORO1A,TFEC,GALNT2,SLC2A6,CD164,AP001056.2
DEFB1,SRPK1,LRRFIP2,KRTCAP3,BLM,LNX2,PHYHD1,C20orf96,ARHGEF5,FZD8,PCDH18,ASB1,CHID1,PIGV,FNBP4,MAP3K7CL,SLC8A1,CCDC71L,AC006449.2,SLC12A6,CD3EAP,PTPRB,CALCRL,NANP,CPNE5,WIPF1,P2RY8,ATXN1,XCL1,STK4,RASAL3,ICAM3,GABPB1-IT1,PIKFYVE,DRAM2,ARHGAP25,EDEM1,SLAMF7,CIR1,SPI1
SAA1,ANKLE2,RPS12,KBTBD7,CCNF,CA12,PLGRKT,NDUFV2,PAMR1,SULF1,SELENOP,ACSL4,UAP1,MN1,FZD10,MRPL32,PPP1R14A,ADAMTS10,COL18A1,FGD5,RAPGEF4,FES,ZC3H12C,SLC7A1,RASSF9,CENPC,GNG2,PRKCQ,AC093010.2,IL18RAP,PIP4K2A,CRTAM,ELOVL6,EIF2AK3,TSPAN33,ISCU,LIME1,MIR155HG,SLC25A48,ST8SIA4
PPL,GSTA1,POU2F3,AC018362.1,BRCA2,FAM102A,PRLR,EIF3H,CDK18,SCPEP1,GPX8,REEP5,CTSK,TPBG,MSI1,TRPC4,SEPTIN7,NMD3,KCNJ8,GFOD1,DEDD,GPIHBP1,RASGRF2,CYLD,SCN3B,KAT2B,DGKA,STAT5B,AC016074.2,NECAP1,LYST,ZBP1,DENND4A,EHMT1,MAPK8IP3,AC092821.3,TMEM19,ARMC9,CYBB,ARRB2
CBR3,IL20,RPS15A,CLIC3,DHFR,MEX3D,BTG2,TANC2,LGR4,ARHGEF35,CXCL12,RFX8,CLEC11A,TRIML2,TRIM28,GCNA,ARHGEF17,NOTCH3,ARL4D,PLVAP,HOXD1,IRAK2,EPHX1,HEY1,DIPK2B,SETD2,AC133644.2,TBX21,LINC01138,HCST,IKZF2,IL18RAP,IKZF2,RBM38,TFEB,CD84,WNT10A,TLR2,FAIM,CD180
SNHG29,LINC00342,PTRHD1,RPS21,ATAD5,AP4M1,PARD6B,DGCR6,GAS6,ETV1,BOC,APOL1,FIBIN,CHRDL1,SEC24D,MYOM2,C1QTNF1,TBCC,INTS6,EVA1C,AL109741.1,ARL2BP,ARHGDIA,ZNF71,SLC27A3,CEMIP2,MARCH9,SLA,CRTAM,GZMH,AF305872.2,GPR18,CYSLTR1,SPPL2B,FBXO10,FCER2,SRPRB,PHACTR1,TXN,POGLUT1
MPV17L,SAA4,ATP6V1B2,DNAJC4,CENPN,FASN,C9orf152,UQCRQ,ITGB4,TRMT9B,MFAP2,NSMAF,STEAP2,SDF2L1,ARHGEF7,PRKACA,UBA2,SMIM10,AP001160.1,PDE10A,ASXL1,CDC42BPA,MECOM,C6orf141,DPP4,KIAA1109,LINC01138,KLRC3,BIN2,PPP1R16B,LINC01146,PLA2G6,AHI1,TMED8,RPS11,PHACTR1,IZUMO4,CD68,ADA2,LSP1
FBXW5,MACC1,EIF3D,AC037198.1,CENPW,DBNDD1,MPHOSPH6,IFT22,WIF1,HUNK,STARD5,INPP4A,MICOS10,FLRT2,ARHGAP6,HBP1,BCAM,FFAR2,CDC42EP4,FBXO31,TBC1D30,ARPC5L,CYP1A1,PGM2L1,PALM,OXNAD1,CD96,SFI1,AL137779.1,KLRK1,SLFN13,LRMP,GNA15,RBM26,UPF2,REL,FNDC3A,CCL4L2,ANKRD1,AC092809.2
SSBP1,IQCG,RPL7A,LINC01198,CHEK1,MREG,EFNA1,PDIA4,PARP1,FBXW7,GPC3,PGAM1,HMCN2,ABCC1,SNHG15,AXL,PPP1R12B,SEPTIN8,AGAP1-IT1,AK1,BMPR2,NEDD9,GRPEL2,PAQR3,SNX2,FYB1,TRBC1,TGFB1,TBC1D10C,CYTIP,LILRB1,ALOX5AP,TARSL2,IL21R,SYNGR2,COL19A1,AC239799.2,MANBA,AC104971.3,RASAL1