Cancer Basal SC,Cancer Cycling,Cancer Her2 SC,Cancer LumA SC,Cancer LumB SC
S100A8,CD24,SCGB1B2P,SCGB2A2,SLC39A6
S100A9,S100A8,CD24,SCGB1D2,DHRS2
FDCSP,S100A9,MUCL1,PIP,AGR3
SAA1,MUCL1,CALML5,ELF3,COX6C
S100P,STMN1,MIEN1,SCGB2A1,H2AFJ
RARRES1,S100A2,KRT7,S100A14,AGR2
MGST1,UBE2C,DBI,AGR2,TSPAN13
S100A7,S100A7,ERBB2,AZGP1,ANKRD30A
MGP,MGST1,IDH2,KRT18,STC2
CALML5,HIST1H4C,KRT19,TFF1,STARD10
KRT7,KRT7,GRB7,CLDN4,MAGED2
EPCAM,TUBB,SPINT2,S100A1,MLLT4
C6orf15,TK1,SLPI,CLDN3,AZGP1
S100A2,EPCAM,SERINC2,ANKRD30A,XBP1
CSTB,C6orf15,FABP7,KRT19,KRT19
CRABP1,RARRES1,S100A8,CALML5,FXYD3
CD24,HMGA1,CLDN3,EFNA1,CRABP2
PFDN2,IDH2,S100A9,KRT8,ARMT1
MARCKSL1,CKS1B,RP11-206M11.7,MUC1,CCND1
LDHB,CENPF,KRT8,AGR3,MRPS30
KRT17,SERPINB3,ATG5,TFF3,SLC9A3R1
TPD52L1,AIM1,PERP,GPRC5A,GATA3
SERPINB3,KRT17,CRIP2,GDF15,LGALS3BP
PERP,CKB,TFF3,S100A13,MYEOV2
CCND1,DBI,SPDEF,TSTD1,SMIM22
YBX1,PERP,C17orf89,CYB5A,ESR1
UQCRH,ATG5,ALDOA,SMIM22,GSTM3
RPS17,BIRC5,TFAP2B,RP11-206M11.7,DNAJC12
CRYAB,STRA13,NQO1,CRABP2,GJA1
KRT16,GGCT,TMC5,BTG2,TPD52
S100A16,SPINT2,SCD,PYCARD,PIP
MDK,HMGB3,HEBP2,WFDC2,RP11-53O19.1
HMGA1,PFDN2,TM7SF2,HSPB1,ZNF703
SLPI,CENPW,SQLE,PPDPF,MZT2B
ATP1B1,PKM,AIM1,DEGS2,AC018816.3
PFN2,CSTB,NUPR1,XBP1,SDC4
KDELR2,SAA1,C6orf203,SPINT2,FSIP1
UCHL1,FABP7,CLDN4,ZG16B,ELP2
TPI1,FABP5,P4HB,CLDN7,GDAP1
TMEM123,YBX1,PKM,PYDC1,KRT18
TACSTD2,LSM4,KRT18,CLU,BMPR1B
SAA2,HN1,PPDPF,ESR1,CST3
RPS20,HMGN2,MGST1,FXYD3,CHPT1
RPS2,RRM2,SCGB2A2,TACSTD2,C1orf64
NSMCE4A,S100A16,GGCT,MLPH,PRSS23
S100A14,TYMS,FDPS,TRPS1,VMP1
ATP5C1,ENO1,NDUFB9,GATA3,TMEM150C
P4HB,UBE2T,MIF,RHOB,GPRC5A
ANXA2,P4HB,FXYD3,COX6C,IFI27
GSTP1,KIAA0101,PLA2G16,MGST1,ELF3
DSC2,UQCRH,LMTK3,GLUL,SPINT2
KRT15,PFN2,PSMD3,TSPAN13,MLPH
MDH2,KRT19,CD9,LTF,TBC1D9
PHB2,CDC20,LGALS3,MIF,IER3
RPL13A,HMGB1,HPD,CD9,MGP
KRT6B,SIVA1,EFHD1,CA2,RPL7
ENO1,NUCKS1,MARCKSL1,SPDEF,ANAPC11
ZG16B,ANXA2,TMED3,UQCRQ,RAMP1
RPL4,C6orf203,CLDN7,SLC39A6,RPL38
KLK6,CHCHD2,EPHX1,H1F0,GADD45G
KRT19,RANBP1,EGLN3,MGP,SCGB1D2
STRAP,MARCKSL1,CHCHD2,NUPR2,RPL23
HDAC2,MKI67,TXN,SRP9,BLVRB
WFDC2,EIF4EBP1,CLEC3A,AP000769.1,DCXR
PPA1,NUSAP1,AKR1A1,LRRC26,ZG16B
RPL7,ALDOA,BNIP3,S100A16,MDK
SFRP1,CALML5,AZGP1,TFPI2,COX6A1
CDKN2A,S100P,RAB25,BHLHE40,IL6ST
MLF2,DTYMK,C14orf1,ADIRF,SMIM14
SPINT2,LY6D,REEP6,FASN,MRPL12
PRDX6,CDK1,PAFAH1B3,NME2,ATP5H
LY6D,PTTG1,ENO1,DCXR,VPS37A
SNRPE,SFN,PRDX1,SMIM14,CGA
KRT6A,AP2S1,LINC01285,CA12,RP11-206M11.7
S100A11,CCT6A,EPCAM,SCCPDH,GLUL
FKBP4,PAFAH1B3,CKB,SCGB3A1,NPY1R
PABPC1,FDPS,PLPP2,FOXA1,TMEM258
MRPL51,H2AFZ,TACSTD2,PBX1,H1F0
SPTSSA,MIF,TM4SF1,KRT23,HES1
CCT3,NQO1,S100A14,SH3BGRL,TRPS1
PDIA6,SNRPG,IGFBP5,CYP4Z1,SEMA3C
TNFRSF11B,HEBP2,BLVRB,STC2,NME1
NDUFA4,TPI1,HILPDA,NBEAL1,ISOC1
CXCL17,CCND1,TNFSF10,IER3,UGCG
TKT,SPTSSA,ANXA2,CD46,RBP1
NME4,H2AFV,PPP1R1B,H2AFJ,ADIRF
TOMM20,SNRPE,SYNGR2,DSP,HIST1H2BD
CKB,CCT5,AR,AR,KRT8
PDZK1IP1,SERINC2,DSP,SHISA2,TRH
NGFRAP1,TNFRSF12A,FASN,SSFA2,EPCAM
GDI2,LSM5,DSTN,CRACR2B,UGDH
HDLBP,RPS17,GPX4,NAT1,CNOT7
STMN1,ZWINT,MTA1,RAB25,SUPT4H1
CALU,TOMM40,CTNNBIP1,LMNA,CCDC117
RPL37A,RP11-206M11.7,SEPP1,MUCL1,NME3
TUBB,SLPI,MAL2,SOX9,ACADSB
KRT8,ASPH,PDZK1IP1,TOB1,ATP5I
TRIP6,KDELR2,SPINT1,C1orf64,MMP24-AS1
CENPW,SMC4,PRDX5,MT-ATP8,HACD3
EIF4EBP1,MDK,S100P,SEMA3C,FOXA1
PKM,WDR34,PDSS2,NPW,BAMBI
RAB25,TUBA1B,PYCR1,SLC40A1,FASN
FABP5,COX5A,ETFA,S100P,NDUFA11
TNFRSF12A,KRT8,KRT23,PHLDA2,GFRA1
SOX4,TXN,CEACAM6,PRSS23,EMC3
EBPL,TACSTD2,MESP1,MPC2,IRX3
PEBP1,CCNB1,SCGB2B2,APOA1BP,TNNT1
C8orf4,SNRPD1,LRRC26,MAL2,ANPEP
CHCHD10,MDH2,BAMBI,NUPR1,UQCRQ
DEFB1,ANAPC11,NUDT8,C15orf48,DYNLRB1
FAM3C,GSTP1,CYB5A,PKIB,MYBPC1
HMGB3,TPX2,STRA13,TP53TG1,SKP1
PYCR1,POLD2,DKK1,NET1,NDUFC2
FSCN1,MCM7,ADAM15,IER2,PBX1
PRSS21,KRT18,NDUFB4,PRSS8,RAC3
EIF3L,TMSB15A,SFN,SPCS1,GPX4
ACTR3B,ARPC1A,SOX4,SDC4,DDR1
VDAC2,PRC1,STARD3,C3orf14,CA12
SEC61G,PDCD5,TMED10,MTA1,NHP2
ALDOA,TMEM123,ATP5G1,NME3,MPC2
NFIB,NME4,IRX3,NME4,C8orf4
LTBR,TXNDC17,RHOV,UGDH,CMBL
GCSH,EMP2,SDC1,RBM47,ATP6V1G1
MTCH2,DEK,EMP2,CYP4X1,FBP1
SERBP1,PRDX1,DEGS2,SLPI,CANT1
C1QBP,PHGDH,TSTD1,CRNDE,TNFSF10
PRDX5,PCNA,AARD,TCEAL3,ARL6IP1
MIF,MRPL51,RP11-532F12.5,CAPN8,PSMC5
FXYD3,EFHD1,PRELID1,STARD10,PHPT1
RHCG,CRABP1,HDLBP,HIST1H2AC,CLDN4
ARPC1B,SLC25A5,TMED9,EFHD1,TMEM141
RPS11,CCNB2,HN1,SELM,TMBIM4
MRPS15,DUT,HMG20B,KRT7,C4orf48
TMED3,RPS2,SCGB2A1,GPR160,TBCA
CCT6A,NGFRAP1,SLC25A33,DSTN,TFPI2
ARPC1A,HMG20B,S100A11,PERP,CA2
NQO1,FXYD3,NHP2,FHL2,MAPT
PVRL4,DCTPP1,QRSL1,ENAH,STRA13
TSPO,MRPS15,AP2S1,ASAH1,TFAP2A
SDHC,PSMA7,MRPL13,ERBB3,MRPS23
ATP5A1,NDUFAB1,PTPRF,S100A11,NDUFA2
GABRP,ATP5J2,NGRN,EMP2,RPS20
TM4SF1,SERBP1,SPTSSA,PPP1R1B,LYPLA1
RHOV,ATP5C1,TUBB,C1orf21,HSPB1
FBL,NSMCE4A,TMEM134,CREB3L4,PSENEN
RPS10,CLDN3,DHCR24,ALDOA,BUB3
HDDC2,PPA1,CSTB,ATF3,RERG
RPL22L1,CRIP2,JUP,ALCAM,MZT2A
KRT5,TSTD1,CIB1,TRIB1,MUC1
BNIP3,SLIRP,TIMM13,LAMTOR2,TMEM59
SERP1,PRELID1,BACE2,PARD6B,MRPS7
POLR2F,LINC01285,CBR3,TBC1D9,CD9
PTMS,RNASEH2A,COX6B1,GALNT7,PRLR
PDCD5,PYCR1,PGK1,TNNT1,VAV3
PSMB2,PRDX2,PGRMC1,SEPW1,NR2F6
ATP5B,PPIA,TSPAN1,TMED3,WBP11
,PDIA6,S100A16,ATP1B1,AFF3
,IRX3,XBP1,MYO6,TMEM205
,H3F3A,PCBD1,H3F3A,TBX3
,S100A14,CYB561,PAFAH1B3,TOM1L1
,HIST1H1E,GPI,KDM5B,ATP6AP1
,TUBA1C,TPM1,BCAM,EFHD1
,SRP9,MRPS34,CCDC74A,WWP1
,MTCH2,ALDH3B2,PCBD1,PRDX1
,NCL,EIF4EBP1,NDUFB10,NDUFB9
,C14orf2,SSU72,RASD1,TMEM101
,PSMB2,CERS4,TNFRSF12A,PLPP2
,NHP2,NME4,SREBF1,C17orf58
,HDLBP,PDLIM3,RAB13,RPS17
,MRPL37,MRPS26,AQP3,ERBB3
,ATP5G3,KDELR1,PRLR,UQCR11
,MESP1,NFIC,NEAT1,NDUFA5
,RAB25,EDN1,TCEAL4,VPS28
,MRPS16,SEC61G,TM4SF1,MYO6
,HDAC2,LSR,C16orf13,CYB5A
,KLK6,PHGDH,MAGED2,PLIN5
,PSMG3,SLIRP,TOMM20,C19orf33
,PGRMC1,PHB,RAB11FIP1,RAB11FIP1
,NDUFB9,AURKAIP1,GPX4,PKIB
,TM4SF1,MSMO1,BAMBI,RMND1
,ECHS1,MTDH,SCUBE2,NECAB3
,IMPA2,TSTA3,TCEB2,LYPD6B
,SQLE,YIF1A,NENF,TMEM230
,MAL2,TSC22D1,TMEM99,SPDEF
,ILF2,HMGN1,TMEM9,RAB5C
,QRSL1,NUCB2,GAMT,PVRL2
,CKS2,MDK,SELENBP1,MRPS34
,C14orf1,CASC3,GSTM3,CD46
,RAD21,DCXR,REEP6,ARPC4
,C20orf24,FDFT1,PRDX2,SORD
,TMC5,TC2N,KCNK6,TSTD1
,PLK1,DCTPP1,TMEM205,TIMM13
,ATP5G1,CRACR2B,ASPH,SERPINA5
,PCBD1,NDUFS5,SYPL1,ASAH1
,SNRPB,PFN2,TTC39A,FAM174A
,TFF3,TSPAN15,CYP4B1,SRP9
,CDKN3,LGALS7B,TRAF4,ATOX1
,NDUFS5,LINC01133,MRPL57,EGLN2
,VDAC2,SEPHS2,FAM173A,KCNJ3
,PDAP1,UQCC3,TMEM141,CSNK2B
,AURKAIP1,ELF3,ABHD11,NEAT1
,NDUFB4,GNG5,DHCR24,APLP2
,SAC3D1,CRISP3,TMEM219,BRK1
,BNIP3,TRIB1,MRPS34,HSPA2
,NUDT1,PPIA,SERINC2,CSNK1A1
,EPHX1,SERHL2,CERS2,COX17
,GADD45GIP1,SLC25A39,FLNB,VPS25
,MGP,C14orf2,HINT1,KCNK15
,DSP,CDC42EP1,PSCA,FAM213A
,TMEM106C,COX5A,FIS1,CNPY2
,BOLA3,AP1M2,JTB,CUTA
,SCD,GMDS,NUDT8,POLR2K
,TMED3,H1F0,GALNT6,HEBP1
,CARHSP1,CANX,VMP1,DEGS2
,NDUFS6,MLPH,LMTK3,BOD1
,KRT16,MDH2,WASL,
,CLDN7,HSPB1,FLYWCH2,
,NDUFA4,EIF3H,MUC6,
,RPA3,COMTD1,IRX2,
,MRPL14,PPP4C,JUP,
,MRPS34,CDK2AP2,ELOVL5,
,HMGN1,RTN3,PHGR1,
,PSMB5,TMSB15A,NTN4,
,SPDEF,PSMD8,SHROOM3,
,CBX3,RHOB,KRTCAP2,
,RHOV,SPTSSB,COA3,
,CCT3,TEX9,YPEL2,
,PPP4C,STUB1,MRPL55,
,RHEB,RNF39,SLC50A1,
,HNRNPAB,TM9SF2,SPTSSB,
,SNRPC,FADS2,MT-ND4L,
,HIST1H1C,CRABP2,CD164,
,PRDX5,PDCD6,HOXB2,
,TPD52L1,HIST1H1C,SUSD3,
,SHFM1,SLC38A10,GTF2H5,
,UCHL1,,PRDX3,
,GGH,,SUB1,
,RPS20,,CYHR1,
,YWHAQ,,FMOD,
,TKT,,ARF5,
,TIMM13,,MAOB,
,PLA2G16,,ATP5G2,
,SEC61G,,GBAS,
,LSR,,C8orf4,
,PTMS,,CTA-392E5.1,
,PHB,,CD151,
,RPL22L1,,PPP1R35,
,LRRC59,,HACD3,
,BANF1,,HSPA6,
,MRPL13,,SPTSSA,
,S100A11,,PLPP2,
,CDKN2A,,MRPL24,
,AP2M1,,TPD52,
,PARP1,,TCEA3,
,NME1,,MCCC2,
,CNIH4,,LYPLA1,
,CYC1,,PLAT,
,GCSH,,CISD3,
,C1QBP,,EIF3H,
,LSM3,,TMC5,
,POP7,,TSPAN15,
,HNRNPA3,,ALKBH7,
,ATPIF1,,TSC22D1,
,COX20,,PVRL2,
,PDSS2,,TXNDC17,
,MRPL12,,RAB27B,
,SMS,,MAFF,
,MRPS26,,GABARAP,
,RAN,,GNPTG,
,USP1,,MS4A7,
,C17orf89,,PON2,
,EBNA1BP2,,LAGE3,
,NDUFB7,,SCD,
,ATP1B1,,GJA1,
,NDUFC2,,SCOC,
,AHCY,,GGCT,
,PGD,,NAA38,
,LSM2,,FAM174A,
,MLF2,,,
,PRDX6,,,
